predicted_probs,target
0.63406223,0
0.85130596,0
0.060446996,0
0.59252393,0
0.33746588,0
0.049888067,0
0.7097594,0
0.18200503,0
0.0152484635,0
0.32543978,0
0.18520442,0
0.16034038,0
0.24470064,0
0.11019689,0
0.22494198,0
0.44797996,0
0.40331978,0
0.0957893,0
0.80622345,0
0.61443496,0
0.0034376855,0
0.915345,0
0.6339884,0
0.43887764,0
0.23772137,0
0.5149238,0
0.765815,0
0.077039294,0
0.58842325,0
0.42972237,0
0.03688893,0
0.086939044,0
0.49988982,0
0.2071443,0
0.11031812,0
0.20063703,0
0.51594067,0
0.76679426,0
0.18936563,0
0.060279597,0
0.050294828,0
0.25396112,0
0.11410282,0
0.3874563,0
0.72682357,0
0.20266266,0
0.34456882,0
0.17095652,0
0.6808222,0
0.20082797,0
0.3412749,0
0.67152107,0
0.351123,0
0.3689401,0
0.55392975,0
0.53518665,0
0.12427185,0
0.4636146,0
0.49979797,0
0.1786937,0
0.40178144,0
0.26654327,0
0.008624795,0
0.5653774,0
0.15191405,0
0.4936886,0
0.009278173,0
0.02989153,0
0.37305406,0
0.7006129,0
0.56596655,0
0.06769177,0
0.21368182,0
0.02545696,0
0.10345651,0
0.56568795,0
0.9222809,1
0.9694659,1
0.80733716,1
0.6885454,1
0.9339113,1
0.96349573,1
0.182467,1
0.9195682,1
0.354599,1
0.39479718,1
0.5958626,1
0.012289837,1
0.47199515,1
0.7574519,1
0.027879218,1
0.5654343,1
0.79251426,1
0.8256891,1
0.7233073,1
0.76868135,1
0.756895,1
0.6726587,1
0.41776025,1
0.62626284,1
0.7552575,1
0.80033284,1
0.8950284,1
0.805995,1
0.6768066,1
0.33771732,1
0.6837038,1
0.9624491,1
0.7963175,1
0.38369468,1
0.5189926,1
0.6710311,1
0.4490164,1
0.5335143,1
0.7590886,1
0.9361782,1
0.6924089,1
0.7149184,1
0.35724828,1
0.3758951,1
0.9253649,1
0.9585769,1
0.7723616,1
0.80682105,1
0.8381057,1
0.7094577,1
0.8585154,1
0.8606118,1
0.047830835,1
0.4064005,1
0.6761134,1
0.27569634,1
0.73316413,1
0.8621845,1
0.7858209,1
0.58259934,1
0.87055314,1
0.8746326,1
0.7255563,1
0.7553547,1
0.5376557,1
0.39235446,1
0.58355546,1
0.6538938,1
0.49958652,1
0.9886972,1
0.81290305,1
0.7842034,1
0.96365464,1
0.5728299,1
0.6742099,1
0.8473409,1
0.7098323,1
0.6956375,1
0.52432346,1
