predicted_probs,target
0.5933022,0
0.16711318,0
0.00909324,0
0.33313003,0
0.94331247,0
0.0071675167,0
0.14925931,0
0.4166872,0
0.20356505,0
0.0053807944,0
0.16030787,0
0.10461079,0
0.16932228,0
0.13657251,0
0.67018944,0
0.09870843,0
0.067624055,0
0.27275845,0
0.993061,0
0.5156249,0
0.019169185,0
0.3000906,0
0.34030536,0
0.52346736,0
0.360626,0
0.11262249,0
0.2512704,0
0.30904612,0
0.19147861,0
0.6919767,0
0.20515963,0
0.53818786,0
0.1561445,0
0.06717145,0
0.30177665,0
0.0586307,0
0.8872379,0
0.50555295,0
0.07293118,0
0.2225249,0
0.37378803,0
0.040231656,0
0.9999685,1
0.9173515,1
0.99946886,1
0.99950504,1
0.9999547,1
0.8750348,1
0.9194827,1
0.9910035,1
0.7848994,1
0.95616645,1
0.9999057,1
0.9522195,1
0.99999654,1
0.99998057,1
0.9475239,1
0.89655674,1
0.98600787,1
0.9999858,1
0.9963387,1
0.998877,1
0.99999225,1
0.999833,1
0.98849034,1
0.98920316,1
0.99990535,1
0.9999684,1
0.8734416,1
0.819458,1
0.8044013,1
