predicted_probs,target
0.0922858,0
0.02577981,0
0.004545909,0
0.21843027,0
0.045207877,0
0.04101463,0
0.25930142,0
0.97333896,0
0.17560461,0
0.022999821,0
0.9912725,0
0.5202816,0
0.8128105,0
0.5817162,0
0.26341212,0
0.0026792777,0
0.6343142,0
0.0066992063,0
0.10680771,0
0.46265513,0
0.9759889,0
0.59196055,0
0.0032231153,0
0.99551183,0
0.99718165,0
0.018891124,0
0.98211366,0
0.004749679,0
0.07416821,0
0.19871938,0
0.35701346,0
0.0019288631,0
0.007949779,0
0.61263067,0
0.010589217,0
0.47608963,0
0.9692699,0
0.37442338,0
0.5194023,0
0.06774505,0
0.19493052,0
0.03453982,0
0.12170614,0
0.027892688,0
0.019551666,0
0.42220962,0
0.0038509234,0
0.82612956,0
0.938588,0
0.013290561,0
0.66669774,0
0.03657413,0
0.27101612,0
0.091801696,0
0.024796775,0
0.1635644,0
0.08623747,0
0.0046661966,0
0.033355024,0
0.06295024,0
0.77649546,0
0.93791753,0
0.086904414,0
0.39118835,0
0.45573083,0
0.96495736,0
0.0012520399,0
0.10905452,0
0.25914064,0
0.9054719,0
0.50734466,0
0.933252,0
0.01939002,0
0.7019905,0
0.37548685,0
0.09848467,0
0.056929197,0
0.05695388,0
0.07562331,0
0.5105561,0
0.04115048,0
0.5404284,0
0.031829398,0
0.009726391,0
0.28006572,0
0.034688964,0
0.985472,0
0.2236207,0
0.87053394,0
0.96737444,1
0.19921,1
0.992454,1
0.8829312,1
0.99903226,1
0.6596441,1
0.8242427,1
0.75930595,1
0.99769765,1
0.9994417,1
0.9986665,1
0.9909836,1
0.9639769,1
0.7541028,1
0.7460313,1
0.9469861,1
0.8779933,1
0.9699256,1
0.410315,1
0.6233268,1
0.99647266,1
0.99757403,1
0.9985453,1
0.9714308,1
0.84692746,1
0.67069674,1
0.9868139,1
0.94636714,1
0.98511803,1
0.88282186,1
0.55347085,1
0.969396,1
0.91905254,1
0.9830276,1
0.98162395,1
0.3242241,1
0.90462154,1
0.9994413,1
0.95659876,1
0.9571799,1
0.9604687,1
0.9265305,1
0.9849272,1
0.99982315,1
0.991884,1
0.57392657,1
0.7537776,1
0.9833134,1
0.9935382,1
0.99842346,1
0.9980469,1
0.8334634,1
0.8684248,1
0.16161127,1
0.95616186,1
0.9533452,1
0.9196022,1
0.9869868,1
0.90362567,1
0.99904865,1
0.878486,1
0.6246786,1
0.37475672,1
0.9953976,1
0.9973871,1
0.8239413,1
0.997223,1
0.99988556,1
0.973053,1
0.99950635,1
0.7938714,1
0.836122,1
0.998613,1
0.9745607,1
0.8452831,1
0.92664963,1
0.9775614,1
0.60438937,1
0.9960114,1
0.919532,1
0.975266,1
0.71276826,1
0.95872325,1
0.9889683,1
0.9760736,1
0.9253294,1
0.85908633,1
0.89580303,1
0.59950256,1
0.6842067,1
0.99278635,1
0.2330607,1
0.9853555,1
0.65372473,1
0.9155534,1
0.9939254,1
0.65023994,1
0.9683641,1
0.96758455,1
0.9590193,1
0.47941086,1
0.99955314,1
0.9978472,1
0.9937004,1
