predicted_probs,target
0.09327414,0
0.111142814,0
0.8118395,0
0.24189954,0
0.36736104,0
0.04459235,0
0.63553315,0
0.17236894,0
0.88971335,0
0.37733057,0
0.7457996,0
0.11182543,0
0.46527123,0
0.28355718,0
0.45966148,0
0.058252987,0
0.0032715108,0
0.42456532,0
0.08466616,0
0.06337781,0
0.9298832,0
0.8562294,0
0.024069017,0
0.5500618,0
0.4198957,0
0.009171526,0
0.015674755,0
0.8587338,0
0.01247174,0
0.8942189,0
0.109412946,0
0.00055553496,0
0.45203626,0
0.03966239,0
0.959773,0
0.072682686,0
0.29482162,0
0.6351282,0
0.8810932,0
0.37201124,0
0.0427331,0
0.019310461,0
0.6322804,0
0.031134523,0
0.2381391,0
0.30084565,0
0.33887503,0
0.060994383,0
0.16141754,0
0.03193273,0
0.0010519325,0
0.0050130454,0
0.78712505,0
0.53072023,0
0.44202662,0
0.027954465,0
0.12365893,0
0.00157226,0
0.1537873,0
0.034604102,0
0.12940767,0
0.47214466,0
0.79054075,0
0.04836229,0
0.001096471,0
0.051799003,0
0.41716868,0
0.61682403,0
0.01637804,0
0.031228011,0
0.2083563,0
0.79788744,0
0.0062543065,0
0.52086884,0
0.9431656,0
0.45374662,0
0.92911154,1
0.949697,1
0.90677303,1
0.98465943,1
0.24841824,1
0.9421044,1
0.49611384,1
0.9244646,1
0.96838945,1
0.93545985,1
0.92455953,1
0.8075419,1
0.12631218,1
0.9317258,1
0.89031714,1
0.91448504,1
0.94488734,1
0.84524614,1
0.9422422,1
0.92006147,1
0.62028384,1
0.9193333,1
0.9234197,1
0.6794678,1
0.85885954,1
0.65855724,1
0.89324677,1
0.9031265,1
0.9227621,1
0.82290703,1
0.34562233,1
0.92746925,1
0.9566232,1
0.9543395,1
0.8335718,1
0.8338764,1
0.96338505,1
0.95767605,1
0.9721477,1
0.2899232,1
0.14969331,1
0.8530732,1
0.44003943,1
0.906974,1
0.6697988,1
0.5229739,1
0.91588616,1
0.9172303,1
0.03005275,1
0.9159773,1
0.91553664,1
0.92589873,1
0.8570254,1
0.76523304,1
0.75193447,1
0.88765764,1
0.9471305,1
0.9827084,1
0.8684257,1
0.89169705,1
0.8341738,1
0.76495814,1
0.8397203,1
0.9551038,1
0.81048924,1
0.9592298,1
0.93292665,1
0.93311274,1
0.9726123,1
0.16641423,1
0.8307815,1
0.96077484,1
0.62579167,1
0.96649796,1
0.9086648,1
0.97288764,1
0.8629416,1
0.9328194,1
0.47116026,1
0.5132937,1
0.9546016,1
0.9417817,1
0.92741853,1
0.97449386,1
0.8607218,1
