predicted_probs,target
0.3176185,0
0.2824511,0
0.2156262,0
0.87963635,0
0.46312803,0
0.58373314,0
0.2989945,0
0.020907816,0
0.31465122,0
0.3592199,0
0.6322231,0
0.32789427,0
0.19744913,0
0.54957104,0
0.49850926,0
0.75833464,0
0.75500035,0
0.43212235,0
0.17773497,0
0.6346907,0
0.39036083,0
0.076003075,0
0.089322306,0
0.79203975,0
0.5233789,0
0.6880463,0
0.09132482,0
0.209362,0
0.3687259,0
0.22411487,0
0.0095863985,0
0.039247546,0
0.16968124,0
0.34518397,0
0.44710612,0
0.118883535,0
0.4263898,0
0.4037692,0
0.029662665,0
0.9170709,0
0.20295629,0
0.08312489,0
0.9273263,0
0.22717513,0
0.5623689,0
0.034045212,0
0.5450553,0
0.48885882,0
0.06787162,0
0.42750347,0
0.05941074,0
0.6518188,0
0.5143923,0
0.23148578,0
0.40715882,0
0.0008112519,0
0.30803147,0
0.8920321,0
0.6880151,0
0.1394716,0
0.592235,0
0.4448574,0
0.93891454,0
0.40989158,0
0.33235526,0
0.12904173,0
0.18105684,0
0.40225875,0
0.48753312,0
0.41784215,0
0.85285866,0
0.9191478,0
0.71723557,0
0.0023895907,0
0.38839394,0
0.7764333,0
0.16542003,0
0.4765036,0
0.21620059,0
0.32823706,0
0.6566103,0
0.13180284,0
0.22460507,0
0.33080277,0
0.33346915,0
0.3426172,0
0.08405721,0
0.03860861,0
0.27594206,0
0.5967713,0
0.19177885,0
0.10849266,0
0.028897839,0
0.369796,0
0.17673008,0
0.2927537,0
0.042773925,0
0.43879768,0
0.39089298,0
0.16095379,0
0.28924972,0
0.27097958,0
0.34202084,0
0.14391677,0
0.12044009,0
0.29178175,0
0.10960168,0
0.28761512,0
0.74201524,0
0.21617164,0
0.7199008,0
0.78315836,0
0.43156558,0
0.7436799,0
0.9831497,0
0.95817596,0
0.101307586,0
0.07937837,0
0.8797738,0
0.13517927,0
0.06231311,0
0.86672866,0
0.9222236,1
0.99168044,1
0.9923159,1
0.9000915,1
0.668136,1
0.9878131,1
0.89532626,1
0.4980542,1
0.93283945,1
0.9152226,1
0.99305737,1
0.76860493,1
0.98995984,1
0.9632996,1
0.9916013,1
0.98674417,1
0.9904144,1
0.98835087,1
0.97295827,1
0.5865978,1
0.9894405,1
0.99520504,1
0.99059665,1
0.9713216,1
0.9415051,1
0.7650897,1
0.9913986,1
0.98751897,1
0.99621046,1
0.78837794,1
0.54124814,1
0.98347384,1
0.9939129,1
0.8324923,1
0.5220325,1
0.98625165,1
0.9342713,1
0.8681985,1
0.96605456,1
0.62665266,1
0.7025447,1
0.81209415,1
0.9930756,1
0.57152396,1
0.98869276,1
0.9938338,1
0.90103763,1
0.6752643,1
0.8310419,1
0.93686104,1
0.9947602,1
0.979479,1
0.6998155,1
0.961816,1
0.8691191,1
0.97418207,1
0.4380094,1
0.7358945,1
0.8697102,1
0.7865519,1
0.9549303,1
0.97197884,1
0.99073255,1
0.669588,1
0.99716127,1
0.9936778,1
0.5891002,1
0.846168,1
0.9382256,1
0.84283173,1
0.95048404,1
0.73366433,1
0.42590877,1
0.98925424,1
0.58444697,1
0.9526793,1
0.6764884,1
0.943677,1
0.72863257,1
0.26058015,1
0.99219656,1
0.842213,1
0.9372966,1
0.7002702,1
0.68673503,1
0.6544363,1
0.97525954,1
0.45621398,1
0.8973463,1
0.2830558,1
0.9850981,1
0.9877007,1
0.9097727,1
0.7361436,1
0.9903486,1
0.99491525,1
0.939024,1
0.6967432,1
0.598719,1
0.84399456,1
0.7957887,1
0.9958639,1
0.98532975,1
0.5942769,1
0.95995116,1
0.9908283,1
0.99149466,1
0.38508728,1
0.99026847,1
0.99554163,1
0.44641012,1
0.9905522,1
0.73043716,1
0.93743867,1
0.99249285,1
0.99495983,1
0.95840627,1
0.6793122,1
0.8305549,1
0.4819921,1
0.90410775,1
0.98944104,1
0.9946437,1
0.99491125,1
0.9940054,1
0.9427234,1
0.9921205,1
0.9760045,1
0.84695923,1
0.98830044,1
0.99147415,1
0.46736857,1
0.35173452,1
