predicted_probs,target
0.79050976,0
0.3473719,0
0.17372328,0
0.33756566,0
0.8053696,0
0.35985735,0
0.07039841,0
0.095480636,0
0.10719612,0
0.8283759,0
0.4495702,0
0.09539568,0
0.49699324,0
0.8145962,0
0.03791726,0
0.09647495,0
0.68358636,0
0.047620818,0
0.96303755,0
0.13537195,0
0.2226157,0
0.30431333,0
0.06225829,0
0.81785977,0
0.17216846,0
0.06942763,0
0.48710653,0
0.69763494,0
0.013181443,0
0.91913056,0
0.28762424,0
0.014876335,0
0.36024225,0
0.077278435,0
0.5450141,0
0.010709923,0
0.16077003,0
0.63033265,0
0.015881013,0
0.38493317,0
0.745855,0
0.633398,0
0.73452,0
0.63358194,0
0.7002751,0
0.7637026,0
0.19942804,0
0.27057168,0
0.76051563,0
0.11324967,0
0.50252765,0
0.8130605,0
0.8027286,0
0.41514438,0
0.14045435,0
0.26016626,0
0.47748286,0
0.3386562,0
0.7150598,0
0.014510412,0
0.015620149,0
0.9423489,0
0.7472109,0
0.24392444,0
0.84495956,0
0.301069,0
0.17159571,0
0.6293187,0
0.15248261,0
0.5411727,0
0.06098149,0
0.344863,0
0.6742126,0
0.3330512,0
0.8259993,0
0.7033656,0
0.4681247,0
0.036329284,0
0.8603377,0
0.79168105,0
0.1818592,0
0.11117399,0
0.88048935,0
0.77030265,0
0.31984356,0
0.725671,0
0.7855937,0
0.45137686,0
0.679442,0
0.854661,0
0.5148016,0
0.0067879637,0
0.013849535,0
0.9556143,0
0.30714446,0
0.06829061,0
0.00834436,0
0.42829534,0
0.004193555,0
0.01767561,0
0.97398406,0
0.4380393,0
0.099532455,0
0.975811,0
0.4165934,0
0.8597281,0
0.7074535,0
0.31034452,0
0.029727535,0
0.9001163,0
0.18533067,0
0.12543215,0
0.53119475,0
0.55317783,0
0.22579755,0
0.17167383,0
0.16227704,0
0.31444228,0
0.74172497,0
0.5207782,0
0.46555313,0
0.8757568,0
0.6932569,0
0.30329427,0
0.47269112,0
0.8375968,0
0.03406892,0
0.91683936,0
0.8258616,0
0.46305397,0
0.49245858,0
0.9063491,0
0.7959694,0
0.9291704,0
0.036192164,0
0.58439916,0
0.30323693,0
0.06399901,0
0.55600744,0
0.81510305,0
0.09240461,0
0.37524703,0
0.85898125,0
0.7569711,0
0.39004713,0
0.76238894,0
0.6376554,0
0.061055336,0
0.90152025,0
0.74025595,0
0.6594209,0
0.17234546,0
0.88719624,0
0.91950226,0
0.8636275,0
0.6728151,0
0.0048814733,0
0.25147042,0
0.9509189,0
0.77824795,0
0.03688086,0
0.81104565,0
0.6364861,0
0.116188854,0
0.9413449,0
0.8338863,0
0.56002104,0
0.03725652,0
0.021233026,0
0.5813014,0
0.6716901,0
0.27560613,0
0.96934044,0
0.7622741,0
0.010017061,0
0.1435103,0
0.3068115,0
0.30161357,0
0.329731,0
0.055535465,0
0.025500406,0
0.31984198,0
0.604239,0
0.8855566,0
0.14000675,0
0.7598324,0
0.5831994,0
0.6237442,0
0.4230235,0
0.0031255928,0
0.44363147,0
0.32939422,0
0.7886557,0
0.15301059,0
0.9567317,0
0.12817931,0
0.52586573,0
0.4827161,0
0.8916929,0
0.7606034,0
0.5064556,0
0.8374209,0
0.9463189,0
0.008883309,0
0.49075797,0
0.20977288,0
0.10252178,0
0.34628433,0
0.005110654,0
0.3118086,0
0.5853707,0
0.66396624,1
0.99389416,1
0.9402392,1
0.92529595,1
0.8230821,1
0.76906896,1
0.96215653,1
0.7594611,1
0.9640551,1
0.99112684,1
0.91780347,1
0.62889737,1
0.82078063,1
0.9132079,1
0.79621446,1
0.80192757,1
0.91548365,1
0.96237004,1
0.8824745,1
0.7962678,1
0.8673706,1
0.87358475,1
0.7355198,1
0.93290883,1
0.8638016,1
0.9912514,1
0.9837715,1
0.9885642,1
0.9402555,1
0.95879906,1
0.7741901,1
0.36609402,1
0.9654987,1
0.8992073,1
0.89109063,1
0.39258653,1
0.7878261,1
0.9406443,1
0.9482659,1
0.7119376,1
0.37121493,1
0.8020952,1
0.9804658,1
0.9683196,1
0.9146453,1
0.98821914,1
0.89686364,1
0.98640776,1
0.6992953,1
0.85305774,1
0.9461543,1
0.90340775,1
0.24458748,1
0.94040626,1
0.6831109,1
0.9586665,1
0.9660303,1
0.99418974,1
0.9883387,1
0.9426809,1
0.8797963,1
0.9986395,1
0.86134785,1
0.77101314,1
0.7960379,1
0.87840325,1
0.75839394,1
0.65535855,1
0.99012136,1
0.865352,1
0.5717357,1
0.14395422,1
0.95567715,1
0.8905123,1
0.94404954,1
0.9790692,1
0.99220324,1
0.8318268,1
0.9461304,1
0.97822696,1
0.5745042,1
0.8887168,1
0.7748287,1
0.9869097,1
0.6991113,1
0.9872442,1
0.41777498,1
0.8566883,1
0.89885074,1
0.8241892,1
0.9425149,1
0.61814946,1
0.9175921,1
0.9145398,1
0.9145969,1
0.79054075,1
0.8871966,1
0.72577804,1
0.8491626,1
0.8072063,1
0.9510228,1
0.84748375,1
0.7693718,1
0.7743283,1
0.4948425,1
0.8871258,1
0.9789842,1
0.8370418,1
0.9946826,1
0.8577224,1
0.51696974,1
0.6954004,1
0.85461944,1
0.98636407,1
0.95296884,1
0.9531569,1
0.7637269,1
0.6748815,1
0.95935494,1
0.107971646,1
0.94915575,1
0.8930623,1
0.969686,1
0.8752453,1
0.9099986,1
0.9529845,1
0.7633659,1
0.76421446,1
0.98952496,1
0.96169657,1
0.8304574,1
0.9859496,1
0.8883183,1
0.90770996,1
0.86745846,1
0.66609985,1
0.9616435,1
0.9522923,1
0.103010654,1
0.9188668,1
0.69098324,1
0.8904202,1
0.71503514,1
0.89586294,1
0.7851471,1
0.98476666,1
0.9145621,1
0.98460716,1
0.76541567,1
0.8089722,1
0.9376259,1
0.95069474,1
0.9801887,1
0.69683343,1
0.84657353,1
0.6255728,1
0.96155053,1
0.83180964,1
0.8302059,1
0.9724482,1
0.94401556,1
0.98519707,1
0.94881326,1
0.99266607,1
0.9693796,1
0.91891855,1
0.82827175,1
0.8599172,1
0.9829274,1
0.39767003,1
0.7897031,1
0.9227798,1
0.91919696,1
0.23036067,1
0.92622143,1
0.79491,1
0.9871889,1
0.67568624,1
0.9624356,1
0.97254634,1
0.5962636,1
0.5117524,1
0.56757766,1
0.8944471,1
0.5727012,1
0.9390764,1
0.89474183,1
0.91329795,1
0.9822396,1
0.94062567,1
0.81091416,1
0.9095312,1
0.9470161,1
0.802577,1
0.95652634,1
0.96371025,1
0.43666682,1
0.9795248,1
0.9860935,1
