predicted_probs,target
0.24676901,0
0.24676901,0
0.5971529,0
0.24676901,0
0.9861481,0
0.26236698,0
0.24676901,0
0.3149109,0
0.24676901,0
0.99212223,0
0.3255399,0
0.24676901,0
0.31927666,0
0.2834858,0
0.24676901,0
0.839785,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.54967827,0
0.6126625,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.46690124,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.49185035,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.26093668,0
0.77396685,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.5152558,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.42723355,0
0.24676901,0
0.32236975,0
0.24676901,0
0.85652745,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.3209601,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.24676901,0
0.61281276,0
0.24676901,0
0.99179137,0
0.24676901,0
0.97259235,1
0.99889874,1
0.38581017,1
0.68057376,1
0.9984269,1
1.0,1
0.99928313,1
0.24676901,1
0.24676901,1
0.78052294,1
0.8087828,1
0.82080233,1
0.9999455,1
0.9785058,1
0.24676901,1
0.9540457,1
0.24676901,1
0.99926156,1
1.0,1
0.37666813,1
0.58825946,1
0.99994934,1
0.8294125,1
0.999992,1
0.94711053,1
0.9949227,1
0.2706334,1
0.5009974,1
0.24676901,1
1.0,1
0.24676901,1
0.91846627,1
0.9798955,1
0.2708906,1
1.0,1
0.6931025,1
0.9999621,1
0.99981636,1
0.59301513,1
0.6044526,1
0.9999956,1
0.24676901,1
0.7481283,1
0.9960232,1
0.98954153,1
0.9929033,1
0.95358574,1
0.99663275,1
0.748972,1
0.98662114,1
0.9984059,1
0.84509236,1
0.99396235,1
0.44673514,1
0.9998246,1
0.9239064,1
0.62470496,1
0.8091218,1
0.99983275,1
0.9999999,1
0.99997056,1
0.99999857,1
0.64145327,1
0.26839176,1
0.24676901,1
0.9854725,1
0.24676901,1
0.87580854,1
0.83981115,1
0.993741,1
0.9858992,1
0.96516275,1
0.99948823,1
0.9885439,1
0.9970415,1
0.99918705,1
0.99998784,1
0.6174245,1
0.46808672,1
0.39825723,1
0.96492285,1
0.47044334,1
0.24676901,1
0.2726498,1
0.9999987,1
1.0,1
0.24676901,1
0.9792433,1
0.999944,1
0.9990361,1
0.85337585,1
0.58200365,1
0.24676901,1
0.9996911,1
0.99910223,1
0.99989164,1
0.99962485,1
0.9650065,1
0.9851264,1
0.4528794,1
0.9719943,1
0.9999558,1
0.99980265,1
0.9999896,1
0.43661252,1
0.9998221,1
0.44606814,1
0.74018216,1
0.99905473,1
0.24676901,1
1.0,1
0.9992207,1
0.7053571,1
0.9091121,1
0.4421434,1
0.97371906,1
0.99998724,1
0.9999138,1
0.99812156,1
0.3472562,1
0.5005061,1
0.94472116,1
0.99997723,1
0.9999999,1
0.99999833,1
